NetThrust_kN,CoreNozzleGrossThrust_kN,BypassNozzleGrossThrust_kN,Sp.FuelConsumption_g/(kN*s),SpecificThrust_m/s,CoreNozzleVel.V8_m/s,CoreNozzlePressureRatio,BypassNozzleVel.V18_m/s,BypassNozzlePressureRatio,BurnerEfficiency,EnginePressureRatioP5/P2,HPSpoolSpeed_RPM,LPSpoolSpeed_RPM,FuelFlow_kg/s,LPTExitPressureP5_kPA,LPTExitTemperatureT5_K,Isentr.HPCEfficiency
38.46725541,11.21757863,102.9527691,14.34954057,120.5876612,445.5594462,1.666403513,308.2770905,2.342403622,0.999533941,1.10399259,14944.83542,3261.916032,0.551987442,40.13456987,722.0089487,0.861717434
44.21785585,13.58660907,108.4495034,15.27196488,134.8470575,512.6667228,1.838547618,310.9649334,2.424759521,0.999713399,1.21830523,14944.83542,3457.002243,0.675293541,44.29029398,810.5856224,0.789250974
38.41308918,11.19675375,102.8973105,14.342064,120.4530516,444.9685355,1.664960405,308.2525166,2.341572826,0.999531783,1.103032369,14944.83542,3260.182614,0.550922983,40.09966196,721.2519849,0.862491322
34.90546229,9.798766386,99.28548802,13.89888601,111.6706202,407.2834889,1.570330494,306.6451955,2.287457716,0.999361933,1.039986553,14944.83542,3143.194846,0.485147041,37.80769305,677.9015095,0.911627875
38.78810217,11.34069984,103.2807893,14.394312,121.3845377,449.0640977,1.674947067,308.4228814,2.347316846,0.999546502,1.109676963,14944.83542,3272.188503,0.558328045,40.34121969,726.539704,0.857155727
34.68683166,9.71112906,99.0554754,13.87507121,111.1195009,404.963863,1.564461097,306.5466427,2.284012101,0.999349432,1.036073196,14944.83542,3135.864211,0.481282259,37.66542679,675.4822651,0.914651693
36.85737544,10.58775514,101.3008252,14.13710883,116.5756316,428.1284381,1.6232119,307.5450882,2.317655043,0.999463774,1.075239634,14944.83542,3209.65697,0.521056728,39.08928429,700.8336751,0.884648632
38.97073607,11.41134013,103.4661479,14.42031824,121.8382049,451.0925888,1.679910157,308.5057178,2.350095061,0.999553486,1.112977362,14944.83542,3278.021287,0.561970416,40.46120245,729.1708948,0.854575596
38.5204858,11.2380306,103.0072494,14.35691265,120.7199217,446.1403512,1.667821293,308.301251,2.343219707,0.999536051,1.104935942,14944.83542,3263.619714,0.55303525,40.1688645,722.7551891,0.860957775
39.80885528,11.73594608,104.3117449,14.54225134,123.9163821,460.4082363,1.702750453,308.887735,2.362760994,0.999584073,1.128164741,14944.83542,3304.936853,0.578910379,41.01332475,741.4262691,0.843002112
40.33162475,11.94193574,104.8311998,14.62096197,125.2107875,466.3133222,1.717405478,309.12694,2.370545561,0.999602011,1.137904869,14944.83542,3321.863579,0.589687151,41.36741756,749.236002,0.836058552
39.17427046,11.48974844,103.6726843,14.44953729,122.3433215,453.3426888,1.685401277,308.5983187,2.353189046,0.999561144,1.11662936,14944.83542,3284.538146,0.566050082,40.59396725,732.1195051,0.851713602
43.77103017,13.38423365,108.0635361,15.18556118,133.7276064,506.9660183,1.823153517,310.7440283,2.418976625,0.999701983,1.208102307,14944.83542,3440.019671,0.664687657,43.91937671,803.0578888,0.794440777
39.18634944,11.49440591,103.6849214,14.45128211,122.3732897,453.4764734,1.685727903,308.6038184,2.353372389,0.999561594,1.116846576,14944.83542,3284.925162,0.566292991,40.60186395,732.2953431,0.851544417
38.11330215,11.08078685,102.5907433,14.30146875,119.7071537,441.6817927,1.656898971,308.1170206,2.336978899,0.99951958,1.097669212,14944.83542,3250.613081,0.5450762,39.90468964,717.1038188,0.866780644
37.49292596,10.84036462,101.9519364,14.22027923,118.1634748,434.9931286,1.640409237,307.8360909,2.32740874,0.999492935,1.086691947,14944.83542,3230.656017,0.533159876,39.50562191,708.8534023,0.875664657
38.66763249,11.29451164,103.1577226,14.37740003,121.0854334,447.7474273,1.671739958,308.3680921,2.345473749,0.999541832,1.10754321,14944.83542,3268.329751,0.55594002,40.26364918,724.8296542,0.858863235
37.17215503,10.71359309,101.623012,14.17822468,117.3628228,431.5255415,1.63175743,307.6898268,2.322481,0.999478473,1.080931212,14944.83542,3220.148718,0.527035166,39.29619606,704.7531954,0.880213642
39.56967559,11.64263855,104.0719385,14.50709563,123.3238152,457.7356293,1.696154134,308.7785501,2.359169532,0.999575605,1.123779476,14944.83542,3297.229548,0.574041068,40.85390273,737.9086742,0.846232645
36.68746927,10.51947585,101.1268107,14.11495107,116.1502959,426.299391,1.618603447,307.4665092,2.315047986,0.999455622,1.07216894,14944.83542,3203.927186,0.517841833,38.97765222,698.7238309,0.887040558
35.11542904,9.88267339,99.5064496,13.92251408,112.1988089,409.478563,1.575875354,306.74109,2.290769591,0.999373763,1.043685724,14944.83542,3150.329542,0.488895055,37.94217277,680.2274927,0.908741225
43.6336261,13.32285687,107.942832,15.15991079,133.3845325,505.2405278,1.81851382,310.6768318,2.417168161,0.999698428,1.205026568,14944.83542,3434.903686,0.661481879,43.80756121,800.7930665,0.796030786
40.74976648,12.10946944,105.2414252,14.68476872,126.245309,471.0829344,1.729425146,309.3188432,2.376689965,0.999615727,1.14589071,14944.83542,3335.527982,0.598400896,41.65773499,755.5066426,0.830713331
36.4120564,10.4078893,100.8459325,14.07974054,115.4586498,423.3092793,1.611022133,307.3395029,2.310837659,0.999442147,1.067118268,14944.83542,3194.641478,0.512672307,38.79404,695.3175952,0.890900475
41.45252155,12.39482688,105.9232287,14.79327305,127.9807339,479.137171,1.749965572,309.6435114,2.386906202,0.999637641,1.159535815,14944.83542,3358.775632,0.61321847,42.15378943,766.1167106,0.821989182
42.97932194,13.03458384,107.3588686,15.04206169,131.754243,497.089701,1.796765661,310.3622349,2.408390329,0.999681071,1.190605283,14944.83542,3411.312513,0.646497612,43.28328953,789.9291415,0.803777521
38.6869594,11.30192378,103.1774799,14.38010631,121.133419,447.9585437,1.672254314,308.3768787,2.345769505,0.999542585,1.107885431,14944.83542,3268.949035,0.556322589,40.27609029,725.1032788,0.858588821
43.47308896,13.24558472,107.8118556,15.12941587,132.9755077,502.9079184,1.812028077,310.6045877,2.415134657,0.999694178,1.20074193,14944.83542,3429.586533,0.657722442,43.65179741,797.8414091,0.798135497
38.0153655,11.04321328,102.4897383,14.28846845,119.4638103,440.6301103,1.654330421,308.0725211,2.335466274,0.999515481,1.095959123,14944.83542,3247.462705,0.543181351,39.84252105,715.7755436,0.868183177
39.91047988,11.77572449,104.4132729,14.55733294,124.1680889,461.5484272,1.705570074,308.9341716,2.364281515,0.999587618,1.130039026,14944.83542,3308.217604,0.580990143,41.08146255,742.9312707,0.841642534
39.74353715,11.71042285,104.2463735,14.53260206,123.754578,459.6767697,1.700943481,308.8579034,2.361781944,0.999581778,1.126963531,14944.83542,3302.830271,0.57757701,40.96965593,740.4619919,0.843879457
38.99529714,11.42079628,103.4911039,14.42382718,121.8991726,451.3637114,1.680571602,308.5168862,2.35046892,0.999554418,1.113417294,14944.83542,3278.80732,0.562461427,40.47719577,729.5252758,0.854229115
36.83536323,10.57891234,101.2783348,14.1342504,116.5204845,427.8910823,1.622613267,307.5349285,2.317316927,0.999462728,1.074840871,14944.83542,3208.919779,0.520640248,39.07478766,700.5635071,0.884957638
38.79583595,11.34366458,103.2886785,14.39540077,121.4037449,449.1487294,1.675153198,308.4263997,2.347435184,0.9995468,1.109814098,14944.83542,3272.435827,0.558481607,40.34620509,726.6498694,0.857046338
41.931109,12.59207341,106.3807639,14.86839038,129.1622563,484.6918378,1.764304257,309.8659223,2.393756605,0.999651809,1.1690573,14944.83542,3374.822966,0.623448098,42.49993369,773.4543093,0.816170645
40.05054678,11.83070687,104.5528346,14.57823709,124.5149331,463.1241127,1.709473975,308.9982233,2.366371465,0.999592456,1.132633879,14944.83542,3312.747141,0.583866366,41.1757959,745.0138724,0.839780677
38.55856787,11.25265665,103.0462072,14.36218724,120.8145354,446.5561701,1.668835757,308.3185411,2.343803329,0.999537557,1.105610921,14944.83542,3264.838414,0.553785371,40.19340271,723.2905105,0.860414937
40.17785178,11.88100276,104.6790894,14.59766034,124.830184,464.5691209,1.713056667,309.0565176,2.368268063,0.999596825,1.135014911,14944.83542,3316.867888,0.586502634,41.26235597,746.9302518,0.83807279
39.62262757,11.6632715,104.1251095,14.51483394,123.4550391,458.3263864,1.697611436,308.8026981,2.359965732,0.999577498,1.124748336,14944.83542,3298.933555,0.575115859,40.88912469,738.684368,0.845510214
36.39322271,10.40024327,100.8266839,14.07733763,115.4113609,423.1054417,1.61050494,307.3307945,2.31054931,0.999441211,1.066773643,14944.83542,3194.002053,0.512319684,38.78151147,695.0873437,0.891163414
37.91808543,11.00573561,102.3894949,14.2756525,119.2219517,439.5825423,1.651762649,308.0284063,2.333964659,0.999511375,1.094249708,14944.83542,3244.336408,0.541305411,39.78037692,714.4644689,0.869577104
41.97556774,12.61051123,106.4229869,14.87548583,129.2720183,485.2097044,1.765646379,309.8867173,2.394388434,0.999653098,1.169948475,14944.83542,3376.332369,0.624406963,42.5323315,774.1405881,0.815635993
43.42550148,13.22516855,107.7684314,15.1207895,132.8577792,502.3492175,1.810559383,310.5809177,2.414488986,0.999692929,1.199766211,14944.83542,3427.78686,0.656627867,43.61632611,797.0735863,0.798676794
40.79690754,12.12854129,105.2873599,14.6920158,126.3618839,471.623285,1.730798698,309.3405267,2.377377889,0.999617239,1.146803153,14944.83542,3337.078211,0.59938881,41.69090597,756.2138872,0.830121831
39.14619427,11.47892391,103.6442338,14.44548511,122.2736583,453.0317925,1.684642193,308.5855394,2.352762867,0.999560097,1.116124542,14944.83542,3283.638795,0.565485766,40.57561512,731.7111929,0.852107078
37.59632087,10.88081002,102.0582313,14.2338481,118.4211683,436.108539,1.643185658,307.8829352,2.329001536,0.999497496,1.088540269,14944.83542,3233.99863,0.53514032,39.57281586,710.1999367,0.874186126
38.75683979,11.32871888,103.2488592,14.3899121,121.3069378,448.7224171,1.674115126,308.4086563,2.346838792,0.999545295,1.109123459,14944.83542,3271.186552,0.557707518,40.32109757,726.0950274,0.857598007
38.17931129,11.10599234,102.6588991,14.3102658,119.8710834,442.3874588,1.658616673,308.147075,2.337999534,0.99952232,1.09881297,14944.83542,3252.738261,0.546356093,39.94626986,718.0022167,0.865837652
36.93337525,10.61822813,101.3786447,14.14702874,116.7657553,428.9465536,1.625277,307.5801539,2.318820611,0.99946737,1.076615257,14944.83542,3212.207429,0.522497521,39.13929371,701.7709084,0.883580998
43.18797449,13.12372983,107.5505878,15.07840602,132.2704899,499.5607019,1.803261894,310.4636382,2.41124862,0.999686649,1.19491856,14944.83542,3418.915523,0.651205815,43.44009448,793.2625362,0.80138338
41.33773394,12.34747844,105.8133014,14.77534051,127.6969235,477.7901867,1.746500276,309.5907541,2.385255483,0.999634146,1.157235312,14944.83542,3354.998936,0.610779095,42.07015692,764.3466196,0.823422435
40.77266679,12.11873358,105.2637458,14.68829286,126.3019364,471.3454022,1.73009181,309.3293736,2.377024092,0.999616463,1.146333585,14944.83542,3336.281036,0.59888087,41.6738353,755.8504155,0.830425146
39.03636571,11.43660966,103.5328152,14.42970498,122.0011073,451.8172483,1.681678105,308.5355652,2.351093774,0.999555971,1.114153228,14944.83542,3280.121902,0.563283241,40.50394991,730.1187154,0.853650417
37.63534755,10.89604694,102.0983686,14.23895545,118.5183792,436.5303808,1.644232091,307.9005653,2.329602882,0.999499201,1.089236845,14944.83542,3235.254492,0.535888037,39.59813921,710.7109555,0.873628101
35.75670986,10.14179215,100.1731587,13.99815521,113.8117728,416.2730379,1.593125921,307.0362235,2.300759132,0.999408603,1.055189756,14944.83542,3172.262234,0.500527975,38.36039063,687.5202262,0.899945227
38.51561596,11.23616068,103.0022609,14.3562368,120.7078299,446.0872553,1.667691782,308.2990395,2.34314513,0.999535859,1.104849766,14944.83542,3263.463487,0.552939303,40.16573164,722.6868644,0.861027191
36.36147942,10.38736165,100.7942186,14.07329249,115.331661,422.7624482,1.609634734,307.3161045,2.310062825,0.999439629,1.066193756,14944.83542,3192.923091,0.511725735,38.76043025,694.7003273,0.891605107
39.78630818,11.72713221,104.2891888,14.53891679,123.8605318,460.1556307,1.702126274,308.8774362,2.362423206,0.999583282,1.127749814,14944.83542,3304.209469,0.578449824,40.99824049,741.0931479,0.843304639
34.06103241,9.465888521,98.38525109,13.8113668,109.5430825,398.4828807,1.548231078,306.2674313,2.273972312,0.999312556,1.025245638,14944.83542,3115.130246,0.470429412,37.27180153,668.7389904,0.923356256
38.27684602,11.14429371,102.757745,14.32339465,120.1143629,443.4826335,1.661332088,308.1907641,2.339481998,0.999526306,1.10061805,14944.83542,3255.823338,0.548254372,40.01189175,719.3620288,0.864440045
